CPU_Load,RAM_Usage,Disk_Usage,Status
61,98,11,0.0
24,80,12,0.0
81,18,65,0.0
70,97,90,0.0
30,10,68,1.0
92,17,11,0.0
96,97,11,1.0
84,72,63,0.0
84,20,96,1.0
97,90,10,0.0
33,17,28,0.0
12,44,11,0.0
31,44,62,0.0
62,42,53,0.0
11,14,99,1.0
97,50,41,0.0
39,37,79,0.0
47,16,41,0.0
11,82,77,0.0
73,81,64,0.0
69,21,84,0.0
30,43,65,0.0
42,42,26,0.0
85,57,47,0.0
67,32,33,0.0
31,71,78,0.0
98,97,79,1.0
58,46,95,0.0
68,53,20,0.0
51,95,25,0.0
69,44,82,0.0
89,74,68,0.0
24,56,79,0.0
71,87,89,1.0
71,12,12,0.0
56,10,29,0.0
71,14,68,0.0
60,99,45,0.0
64,23,28,0.0
73,36,99,1.0
12,18,76,0.0
60,88,28,0.0
16,24,29,1.0
30,99,80,0.0
82,51,61,0.0
48,86,42,0.0
27,60,49,0.0
13,72,48,0.0
98,61,91,0.0
69,13,10,0.0
23,32,20,0.0
18,24,66,0.0
99,52,98,1.0
62,38,59,0.0
11,45,32,0.0
93,22,40,0.0
69,41,51,0.0
80,80,16,0.0
53,68,25,0.0
17,95,99,1.0
56,37,69,0.0
44,75,11,0.0
87,51,10,0.0
90,54,57,0.0
45,71,21,0.0
59,66,78,0.0
13,15,46,0.0
11,37,41,0.0
15,37,18,0.0
63,53,28,0.0
13,93,57,0.0
63,39,89,0.0
72,71,12,0.0
27,84,29,0.0
99,98,33,1.0
53,71,63,0.0
43,10,42,0.0
83,36,33,0.0
71,71,84,0.0
23,86,81,0.0
57,12,45,0.0
24,79,47,0.0
81,81,93,1.0
87,36,98,1.0
96,18,34,0.0
71,71,27,0.0
49,46,91,0.0
94,60,75,0.0
89,53,63,0.0
91,33,44,0.0
62,88,89,0.0
33,68,70,0.0
35,41,50,1.0
98,97,42,1.0
69,61,77,0.0
50,71,42,0.0
38,67,23,0.0
24,61,30,0.0
54,21,57,0.0
74,48,29,0.0
