Active_Users,Requests_Per_Second,Background_Tasks,CPU_Load
1226,1158.28,22,39.73
1559,1761.16,40,57.25
960,848.94,56,37.32
1394,1975.68,97,66.26
1230,765.54,61,41.43
1195,606.79,65,35.69
1824,2629.92,24,83.83
1144,905.37,38,40.81
1738,1053.94,17,48.47
221,242.03,14,13.85
566,326.1,38,21.45
1338,2448.44,56,78.14
430,232.81,77,20.52
1582,2164.65,85,74.25
187,216.49,54,15.8
1496,2256.03,11,65.37
1223,1213.5,36,41.59
971,711.32,45,31.21
1787,3525.32,45,95.09
230,404.43,35,20.67
1785,3196.23,52,95.1
1432,1253.54,36,47.71
869,485.12,78,31.88
443,423.02,29,20.33
1615,2108.58,20,62.89
1537,1521.59,83,61.69
905,1576.33,47,52.23
485,440.05,15,14.47
1315,2561.46,81,76.63
1055,1251.12,32,41.13
376,662.9,56,26.45
1284,1016.38,99,46.06
559,624.42,55,28.44
1437,2226.3,21,65.01
121,85.61,99,16.77
352,246.09,22,18.96
847,1655.3,71,55.35
956,1502.73,91,51.6
1684,945.74,98,48.89
574,630.38,69,31.72
1182,1359.63,52,50.68
610,985.8,85,37.5
1805,1581.7,77,61.68
1599,1241.62,14,52.76
799,496.43,46,25.76
1075,1228.16,81,54.15
1906,2921.42,40,89.8
289,169.73,18,18.26
1057,1979.57,60,59.27
786,914.53,38,34.44
1057,908.68,87,41.1
662,424.22,49,28.38
1999,1547.82,50,59.24
1690,3214.25,95,97.88
1367,1992.27,20,62.55
931,1187.07,32,41.11
1628,2418.67,10,74.55
1254,1446.5,55,52.29
1608,2564.85,30,77.88
1942,1110.0,99,55.04
746,1006.4,45,34.92
120,88.56,63,16.46
940,639.43,96,38.08
266,269.41,66,20.38
1397,890.86,10,36.76
487,312.28,72,27.96
700,676.98,63,28.49
415,817.25,64,28.38
113,86.22,49,15.58
341,179.28,24,16.98
876,1441.06,30,46.64
1469,2512.53,56,74.68
664,676.92,82,34.89
997,1193.42,62,50.2
1463,2157.43,18,72.13
191,109.27,83,12.43
1490,2866.34,61,82.07
1055,1930.67,66,59.32
1578,1406.54,35,57.29
1551,811.11,50,34.29
608,1155.29,44,40.13
875,1095.11,72,42.08
134,175.41,34,18.16
305,465.41,99,31.76
1204,1714.23,84,60.82
1685,3228.19,47,86.37
1995,3823.17,11,99.0
1511,2721.01,16,74.74
1125,1636.43,91,54.1
1121,1907.3,43,62.12
1513,2293.33,26,64.24
665,904.43,52,40.83
1229,851.39,68,47.01
1895,3253.35,60,93.86
1945,3366.72,63,99.0
1600,2302.26,33,70.13
802,1387.97,34,46.88
501,740.09,80,36.64
829,671.51,61,33.59
1679,1529.47,79,61.69
261,214.51,97,19.74
301,320.83,42,19.94
1095,611.5,58,34.47
369,526.7,38,20.29
1986,1995.6,72,71.93
915,1357.48,31,43.25
1394,1502.86,35,50.67
555,844.94,37,27.71
1585,1602.33,94,62.48
1850,1648.43,58,59.93
1375,1710.58,80,59.55
1116,1717.9,90,62.74
1825,1866.07,93,71.77
395,752.46,58,26.86
1848,1032.62,29,48.09
819,922.95,95,41.55
1872,3652.97,72,99.0
437,577.7,70,32.07
978,1110.23,58,38.18
1176,1590.87,80,59.16
891,1215.22,10,43.01
316,504.8,22,22.13
863,596.79,96,34.16
287,251.13,60,26.13
479,656.62,65,31.38
592,1066.0,92,47.37
1164,1563.02,71,59.05
1280,1098.11,41,45.25
114,173.25,39,11.77
1936,3116.7,38,90.42
164,140.61,58,14.59
1980,2111.85,54,68.79
1962,2553.53,39,81.54
620,771.8,25,33.84
1467,1590.85,49,55.49
1252,1184.96,28,50.51
747,485.53,27,20.21
1595,925.46,10,43.62
1186,2298.25,87,76.54
1262,2234.64,56,67.3
1622,1674.48,75,61.65
692,1339.16,47,46.53
491,743.94,60,32.31
1798,2200.36,72,68.19
518,642.08,13,21.79
388,242.47,10,14.69
478,304.75,17,13.47
1896,2661.34,38,79.56
1613,2146.18,64,66.42
330,270.3,12,13.8
1117,2143.85,41,62.14
140,234.07,19,14.04
1151,771.4,83,39.96
234,443.76,92,26.92
300,588.41,43,25.22
1963,3914.02,96,99.0
879,513.17,64,33.07
1029,1652.11,41,54.74
1156,1524.62,59,62.27
1171,1825.29,16,55.86
602,1175.69,17,44.01
506,775.21,74,34.2
1697,2978.99,66,87.9
1851,3332.36,76,96.64
904,1588.98,97,60.05
198,225.55,96,26.01
783,652.92,68,34.49
1995,2184.48,81,80.14
825,1516.22,63,46.04
1670,1202.25,76,48.7
1060,1346.19,60,52.26
1862,1582.41,17,56.59
712,976.83,43,38.2
1585,2844.61,44,79.99
742,1350.84,97,54.11
1892,1617.71,87,60.35
1128,2099.82,41,58.22
1341,1861.08,55,65.46
602,617.25,25,18.04
866,1352.93,77,49.55
497,607.58,46,26.4
970,1034.97,63,39.49
894,1392.52,94,50.59
492,429.56,23,18.27
306,304.59,64,25.18
1138,1310.61,57,53.71
1981,1744.32,91,66.74
1677,1857.79,16,61.35
991,1344.99,83,46.13
1584,2552.55,16,76.71
1814,2994.54,42,90.37
1698,2944.65,32,83.19
963,1556.51,94,55.21
842,1281.15,28,41.56
1364,1167.94,28,39.94
663,729.52,45,35.36
1120,1362.56,38,44.95
195,121.75,69,14.0
1857,2400.27,91,80.22
584,674.23,11,28.41
1530,2605.84,10,71.64
330,649.06,56,21.02
848,1131.24,78,41.24
1778,1749.6,29,61.94
1294,731.24,20,41.13
640,1207.66,11,32.87
1159,2177.38,76,63.85
624,548.8,96,27.28
1283,1979.82,21,54.62
1962,1203.0,29,55.2
1822,1365.27,14,56.41
1366,1127.24,46,46.34
1209,1138.56,47,43.16
1919,3826.0,18,99.0
677,1046.23,62,39.42
781,840.59,53,38.19
656,1053.31,95,40.58
1697,3178.28,33,88.97
1112,2155.12,90,64.51
745,437.16,83,31.38
895,977.15,39,37.97
1151,759.81,68,35.82
1743,1749.08,96,64.37
1679,1266.84,90,60.97
1463,2151.01,90,77.57
1921,2079.3,23,67.46
1454,1227.31,18,46.09
1763,1584.77,49,60.43
1629,1695.0,75,63.13
1471,1309.08,34,44.27
1596,1883.06,82,68.1
1354,742.63,31,30.23
289,265.78,13,12.31
1348,1505.46,35,53.61
1508,2117.49,67,70.93
1500,1359.65,38,48.56
1406,983.89,96,46.96
732,449.67,46,24.13
727,1389.15,84,48.14
1072,1205.96,79,47.66
1868,2562.42,27,79.63
1382,2596.45,94,78.6
1482,924.95,51,44.54
809,1468.33,50,48.98
1579,2095.94,47,68.0
1534,1146.28,43,46.79
748,835.43,26,32.33
417,694.89,46,29.92
1800,2197.0,34,72.86
1348,2666.25,85,85.75
1942,2068.44,96,72.42
1357,2204.27,95,70.84
783,853.07,94,34.45
763,1330.48,36,45.63
1950,2639.56,66,82.89
1497,891.12,40,42.41
1795,996.64,15,42.57
1731,1213.05,49,50.49
1595,830.21,21,43.32
1356,831.28,62,43.47
1815,2790.69,80,86.63
1236,1608.68,19,53.74
1953,3173.36,54,95.77
1620,3028.99,26,83.21
541,745.35,35,24.41
663,1053.63,94,39.41
1391,2275.15,71,67.49
1633,1742.04,55,65.16
1930,1662.94,73,68.87
1509,1218.62,11,50.32
1510,1324.52,63,46.83
1236,1127.35,74,50.52
1736,1407.62,60,63.15
1748,3176.69,62,95.55
1051,1718.91,45,47.93
1204,686.7,35,39.58
798,720.6,38,31.32
212,113.05,30,11.68
101,125.97,20,11.88
741,899.81,49,32.16
319,557.31,20,21.34
1689,1624.25,45,63.74
954,1645.25,68,56.11
1859,3628.69,48,99.0
1348,852.76,63,42.1
484,816.86,64,29.03
1526,2113.41,33,65.38
1761,2148.54,31,63.78
1253,1416.9,78,56.74
1176,1972.15,65,56.15
1807,2636.49,42,82.56
829,1415.57,45,49.04
1795,3329.23,29,96.39
1833,2613.67,92,85.06
1539,3032.9,90,92.8
346,488.6,71,24.85
935,1360.39,82,46.2
1562,2080.93,35,70.33
302,192.22,75,19.07
1307,2077.6,82,63.59
222,293.3,82,19.89
500,588.18,49,25.38
866,1615.7,26,49.96
393,372.15,10,24.41
379,487.17,98,29.9
1960,3031.07,70,92.84
983,1665.9,52,60.72
1733,2060.57,51,71.58
297,523.65,34,22.61
1081,1787.3,48,54.92
1634,979.34,44,46.28
851,484.04,12,24.19
